key|note_word|phi_tag|pos_tag|occurrences|include_exclude|exclude_filters|include_filters
uniq0|Har|PATIENT|NNP|1|include|[]|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq1|43|AGE|CD|1|include|[]|['POS MATCHER']
uniq2|Tri|HOSPITAL|NNP|1|include|['filters/regex/addresses/hospital2.txt', 'filters/regex/organizations/admitted_to_hospital_7chars.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq3|Hospital|HOSPITAL|NNP|1|include|['filters/regex/addresses/hospital2.txt', 'filters/regex/organizations/admitted_to_hospital_7chars.txt']|['filters/regex/safe/hospital_safe.txt', 'filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq4|set|PROFESSION|VBN|2|exclude|[]|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq5|designer|PROFESSION|NN|2|exclude|[]|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq6|Doctors|HOSPITAL|NNP|3|include|['filters/regex/addresses/hospital2.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq7|Hospital|HOSPITAL|NNP|3|include|['filters/regex/addresses/hospital2.txt']|['filters/regex/safe/hospital_safe.txt', 'filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq8|45|AGE|CD|1|include|[]|['POS MATCHER']
uniq9|46|AGE|CD|1|include|[]|['POS MATCHER']
uniq10|15|AGE|CD|1|include|[]|['POS MATCHER']
uniq11|10|AGE|CD|1|include|[]|['POS MATCHER']
uniq12|Foundation|HOSPITAL|NNP|1|include|['filters/regex/addresses/hospital2.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq13|Nursing|HOSPITAL|NNP|1|include|['filters/regex/addresses/hospital2.txt']|['filters/regex/safe/hospital_safe.txt', 'filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq14|Home|HOSPITAL|NNP|1|include|['filters/regex/addresses/hospital2.txt']|['filters/regex/safe/hospital_safe.txt', 'filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq15|1991|IDNUM|CD|1|include|['filters/regex/mrn_id/mixed002.txt']|['POS MATCHER']
uniq16|48|AGE|CD|2|include|[]|['POS MATCHER']
uniq17|50|AGE|CD|1|include|[]|['POS MATCHER']
uniq18|71|AGE|CD|1|include|[]|['POS MATCHER']
uniq19|HPC|HOSPITAL|NNP|1|include|[]|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq20|CENTER|HOSPITAL|NNP|3|include|['filters/regex/addresses/hospital2.txt']|['filters/regex/safe/hospital_safe.txt', 'filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq21|81|AGE|CD|1|include|[]|['POS MATCHER']
uniq22|2062|DATE|CD|1|include|[]|['POS MATCHER']
uniq23|2119|DATE|CD|1|include|[]|['POS MATCHER']
uniq24|printing|PROFESSION|NN|1|exclude|[]|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq25|press|PROFESSION|NN|1|exclude|[]|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq26|operator|PROFESSION|NN|1|exclude|[]|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq27|FAMILY|HOSPITAL|NNP|2|include|['filters/regex/addresses/hospital2.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq28|HEALTH|HOSPITAL|NNP|2|include|['filters/regex/addresses/hospital2.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq29|CLINIC|HOSPITAL|NNP|2|include|['filters/regex/addresses/hospital2.txt']|['filters/regex/safe/hospital_safe.txt', 'filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq30|FHC|HOSPITAL|NNP|1|include|[]|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq31|47|AGE|CD|1|include|[]|['POS MATCHER']
uniq32|52|AGE|CD|2|include|[]|['POS MATCHER']
uniq33|2067|DATE|CD|1|include|[]|['POS MATCHER']
