key|note_word|pos_tag|occurrences|exclude_filters|include_filters
uniq0|Orthopedic|NNP|1|['filters/regex_context/names_regex_context3.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq1|Amaryl|NNP|1|[]|[]
uniq2|Mmedical|NNP|1|[]|[]
uniq3|Columbia|NNP|1|['filters/regex/addresses/in_city_transformed.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq4|Pictures|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq5|119|CD|1|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq6|90|CD|1|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq7|CAT|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq8|curtailed|VBD|1|[]|[]
uniq9|owl|NN|1|[]|[]
uniq10|REM|NNP|2|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq11|Nadir|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq12|titrations|NNS|1|[]|[]
uniq13|Mallinckrodt|NNP|2|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq14|Breeze|NNP|2|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq15|2|CD|3|['filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq16|4|CD|2|['filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq17|Provigil|NNP|1|[]|[]
uniq18|Cardia|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq19|146|CD|2|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq20|88|CD|1|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq21|arrousal|NN|1|[]|[]
uniq22|nonrestorative|JJ|2|[]|[]
uniq23|lightened|VBD|1|[]|[]
uniq24|1|CD|1|['filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq25|psychotropics|NNS|1|[]|[]
uniq26|barbituate|NN|1|[]|[]
uniq27|nonpharmacologic|JJ|1|[]|[]
uniq28|DD|NNP|1|['filters/regex/mrn_id/mixed002.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq29|DT|NNP|1|['filters/regex/mrn_id/mixed002.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq30|JAR|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq31|puls|NN|1|[]|[]
uniq32|AF|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq33|POBA|NNP|2|[]|[]
uniq34|CCU|NNP|1|['filters/regex/organizations/admission_to_hospital_12chars.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq35|AF|NNP|1|['filters/regex/addresses/in_city_transformed.txt', 'filters/regex/addresses/streetname_only_transformed.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq36|with|IN|1|['filters/regex/addresses/streetname_only_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq37|RVR|NNP|1|['filters/regex/addresses/streetname_only_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq38|BB|NNP|2|['filters/blacklists/firstnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq39|hyperchol|NN|1|[]|[]
uniq40|sonata|VBD|2|[]|[]
uniq41|bloused|VBD|1|[]|[]
uniq42|NSR|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq43|Ramp|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq44|Pump|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq45|subthereapeutic|JJ|1|[]|[]
uniq46|RISS|NNP|3|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq47|CCU|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq48|2|CD|4|['filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq49|Went|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq50|RLE|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq51|Nov|NNP|1|['filters/regex/dates/month_name_dd_transformed.txt', 'filters/regex/dates/month_name_transformed.txt', 'filters/regex/dates/month_name_transformed.txt', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq52|1|CD|1|['filters/regex/dates/month_name_dd_transformed.txt']|['POS MATCHER']
uniq53|HA|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq54|Hyperchol|NNP|1|[]|[]
uniq55|129|CD|1|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq56|80|CD|1|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq57|Galiverdin|NNP|1|[]|[]
uniq58|Conversationally|NNP|1|[]|[]
uniq59|XI|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq60|SCMs|NNP|1|[]|[]
uniq61|5|CD|2|['filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq62|ElF|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|[]
uniq63|ElE|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq64|WrE|NNP|1|[]|[]
uniq65|FE|NNP|1|['filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq66|IO|NNP|1|['filters/blacklists/firstnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq67|KnE|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|[]
uniq68|KnF|NNP|1|[]|[]
uniq69|Dors|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq70|colder|NN|1|[]|[]
uniq71|Bra|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|[]
uniq72|Hoff|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|[]
uniq73|Pat|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq74|Down|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq75|R|NNP|1|['filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq76|Romberg|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq77|136|CD|1|['filters/regex/contact/xxx_xxx_xxxx.txt']|['POS MATCHER']
uniq78|135|CD|1|['filters/regex/contact/xxx_xxx_xxxx.txt']|['POS MATCHER']
uniq79|145|CD|1|['filters/regex/contact/xxx_xxx_xxxx.txt']|['POS MATCHER']
uniq80|100|CD|1|['filters/regex/contact/xxx_xxx_xxxx.txt']|['POS MATCHER']
uniq81|108|CD|1|['filters/regex/contact/xxx_xxx_xxxx.txt']|['POS MATCHER']
uniq82|Chol|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq83|210|CD|1|['filters/regex/contact/xxx_xxx_xxxx.txt']|['POS MATCHER']
uniq84|150|CD|3|['filters/regex/contact/xxx_xxx_xxxx.txt']|['POS MATCHER']
uniq85|350|CD|1|['filters/regex/contact/xxx_xxx_xxxx.txt']|['POS MATCHER']
uniq86|CCA|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq87|ACA|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq88|LUE|NNP|2|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq89|Will|NNP|5|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq90|PT20210|NNP|1|['filters/regex/mrn_id/DDDDDD+.txt', 'filters/regex/mrn_id/CCDDD_DDD.txt']|[]
uniq91|Factor|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq92|V|NNP|1|['filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq93|Leiden|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq94|BCx2|NNP|1|['filters/regex/mrn_id/mixed004.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq95|LAE|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq96|Internal|NNP|3|['filters/regex/addresses/hospital1.txt', 'filters/regex_context/names_regex_context3.txt']|['filters/regex/safe/hospital_safe.txt', 'filters/whitelists/whitelist_plus_fps_091718_nonames.json']
