key|note_word|pos_tag|occurrences|exclude_filters|include_filters
uniq0|Campbell|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq1|Orthopedic|NNP|1|['filters/regex_context/names_regex_context3.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq2|4|CD|1|['filters/regex/addresses/full_street_address_transformed.txt', 'filters/regex/addresses/num_streetname_city_state_transformed.txt', 'filters/regex/addresses/num_streetname_extension_transformed.txt', 'filters/regex/addresses/num_streetname_transformed.txt']|['POS MATCHER']
uniq3|Madera|NNP|1|['filters/regex/addresses/full_street_address_transformed.txt', 'filters/regex/addresses/num_streetname_city_state_transformed.txt', 'filters/regex/addresses/num_streetname_extension_transformed.txt', 'filters/regex/addresses/num_streetname_transformed.txt', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq4|Circle|NNP|4|['filters/regex/addresses/full_street_address_transformed.txt', 'filters/regex/addresses/num_streetname_city_state_transformed.txt', 'filters/regex/addresses/num_streetname_extension_transformed.txt', 'filters/regex/addresses/num_streetname_transformed.txt', 'filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_state_transformed.txt', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq5|Omak|NNP|1|['filters/regex/addresses/full_street_address_transformed.txt', 'filters/regex/addresses/num_streetname_city_state_transformed.txt', 'filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_state_transformed.txt']|[]
uniq6|GA|NNP|1|['filters/regex/addresses/full_street_address_transformed.txt', 'filters/regex/addresses/num_streetname_city_state_transformed.txt', 'filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_zip_transformed.txt', 'filters/regex/addresses/city_state_transformed.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq7|28172|CD|1|['filters/regex/addresses/full_street_address_transformed.txt', 'filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_zip_transformed.txt', 'filters/regex/mrn_id/DDDDDD+.txt', 'filters/regex/contact/pager.txt']|['POS MATCHER']
uniq8|Habib|NNP|2|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq9|Valenzuela|NNP|2|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|[]
